PWY_NAME	PWY_COMMON_NAME
ARGSPECAT-PWY	spermine biosynthesis
PWY0-662	PRPP biosynthesis I
PWY0-661	PRPP biosynthesis II
PWY-5658	mannosylglycerate biosynthesis II
PWY-5656	mannosylglycerate biosynthesis I
PWY-6687	mannosylglucosylglycerate biosynthesis II
PWY-6686	mannosylglucosylglycerate biosynthesis I
PWY-6685	glucosylglycerate biosynthesis II
PWY-5662	glucosylglycerate biosynthesis I
PWY-6055	dimethylsulfoniopropionate biosynthesis II (Spartina)
PWY-6054	dimethylsulfoniopropionate biosynthesis I (Wollastonia)
PWY-6053	dimethylsulfoniopropionate biosynthesis III (algae)
PWY-6664	di-myo-inositol phosphate biosynthesis
PWY-6157	autoinducer AI-1 biosynthesis
PWY-6154	autoinducer AI-2 biosynthesis II (Vibrio)
PWY-6153	autoinducer AI-2 biosynthesis I
PWY1-3	polyhydroxybutyrate biosynthesis
PWY0-1534	hydrogen sulfide biosynthesis
PWY-6936	seleno-amino acid biosynthesis
PWY-6935	seleno-amino acid detoxification and volatilization II
PWY-6931	seleno-amino acid detoxification and volatilization I
PWY-6841	homophytochelatin biosynthesis
PWY-6840	homoglutathione biosynthesis
PWY-6745	phytochelatins biosynthesis
PWY-6730	methylhalides biosynthesis (plants)
PWY-6657	polyhydroxydecanoate biosynthesis
PWY-6498	eumelanin biosynthesis
PWY-6481	L-dopachrome biosynthesis
PWY-5670	epoxysqualene biosynthesis
PWY-5389	methylthiopropionate biosynthesis
PWY-5109	2-methylbutyrate biosynthesis
PWY-6933	seleno-amino acid detoxification and volatilization III
PWY0-181	salvage pathways of pyrimidine deoxyribonucleotides
PWY0-163	salvage pathways of pyrimidine ribonucleotides
PWY-5686	uridine-5-phosphate biosynthesis
PWY0-166	pyrimidine deoxyribonucleotides de novo biosynthesis I
PWY-6545	pyrimidine deoxyribonucleotides de novo biosynthesis II
PWY-5687	pyrimidine ribonucleotides interconversion
PWY-6620	guanine and guanosine salvage I
PWY-6618	guanine and guanosine salvage III
PWY-6599	guanine and guanosine salvage II
PWY-6619	adenine and adenosine salvage VI
PWY-6611	adenine and adenosine salvage V
PWY-6610	adenine and adenosine salvage IV
PWY-6609	adenine and adenosine salvage III
PWY-6605	adenine and adenosine salvage II
P121-PWY	adenine and adenosine salvage I
P1-PWY	purine and pyrimidine metabolism
SALVPURINE2-PWY	xanthine and xanthosine salvage
PWY-6124	inosine-5-phosphate biosynthesis II
PWY-6123	inosine-5-phosphate biosynthesis I
PWY-6126	adenosine nucleotides de novo biosynthesis
PWY-6125	guanosine nucleotides de novo biosynthesis
PWY-6829	tRNA methylation (yeast)
PWY0-1479	tRNA processing pathway I
PWY-6711	archaeosine biosynthesis
PWY-6700	queuosine biosynthesis
PWY-6689	tRNA splicing
PWY-6122	5-aminoimidazole ribonucleotide biosynthesis II
PWY-6121	5-aminoimidazole ribonucleotide biosynthesis I
PWY-6794	adenosine 5-phosphoramidate biosynthesis
PWY-6845	nitric oxide biosynthesis I (in plants)
PWY-6405	Rapoport-Luebering glycolytic shunt
PWY-6100	L-carnitine biosynthesis
PPGPPMET-PWY	ppGpp biosynthesis
PWY-6158	creatine-phosphate biosynthesis
PWY-6424	sitosterol biosynthesis
PWY-6132	lanosterol biosynthesis
PWY-6075	ergosterol biosynthesis
PWY-6074	zymosterol biosynthesis
PWY-6061	bile acid biosynthesis, neutral pathway
PWY-6036	cardenolide glucosides biosynthesis
PWY-6032	cardenolide biosynthesis
PWY-6580	L-1-phosphatidyl-inositol biosynthesis (Mycobacteria)
PWY4FS-6	phosphatidylethanolamine biosynthesis II
PWY-6273	phosphatidylethanolamine biosynthesis III
PWY-5669	phosphatidylethanolamine biosynthesis I
PWY4FS-4	phosphatidylcholine biosynthesis IV
PWY4FS-3	phosphatidylcholine biosynthesis III
PWY4FS-2	phosphatidylcholine biosynthesis II
PWY3O-450	phosphatidylcholine biosynthesis I
PWY-6826	phosphatidylcholine biosynthesis VI
PWY-6825	phosphatidylcholine biosynthesis V
PWY-5668	cardiolipin biosynthesis I
PWY-5269	cardiolipin biosynthesis II
PWY0-1319	CDP-diacylglycerol biosynthesis II
PWY-5981	CDP-diacylglycerol biosynthesis III
PWY-5667	CDP-diacylglycerol biosynthesis I
PWY-762	phospholipid desaturation
PWY-6367	D-myo-inositol-5-phosphate metabolism
PWY-6352	3-phosphoinositide biosynthesis
PWY-6349	CDP-archaeol biosynthesis
PWY0-541	cyclopropane fatty acid (CFA) biosynthesis
PWY-4942	cyclopropane and cyclopropene fatty acid biosynthesis
PWY-5375	alpha-eleostearic acid biosynthesis
PWY-5374	punicic acid biosynthesis
PWY-5373	calendate biosynthesis
PWY-5368	dimorphecolate biosynthesis
PWY-6958	eicosapentaenoate biosynthesis
PWY-5361	Delta5-eicosenoate biosynthesis
PWY-5362	Delta6-hexadecenoate biosynthesis
PWY-5367	petroselinate biosynthesis
PWY-6013	crepenynic acid biosynthesis
PWY-6014	vernolic acid biosynthesis
PWY-6433	hydroxylated fatty acid biosynthesis (plants)
PWY-6598	sciadonic acid biosynthesis
PWY-6603	dicranin biosynthesis
PWY-5353	arachidonate biosynthesis
PWY-5989	stearate biosynthesis II (plants)
PWY-5972	stearate biosynthesis I (animals)
PWY-6282	palmitoleate biosynthesis I
PWY-5366	palmitoleate biosynthesis II
PWY-5994	palmitate biosynthesis I (animals)
PWY-5971	palmitate biosynthesis II (bacteria and plants)
PWY-6429	ricinoleate biosynthesis
PWY-5996	oleate biosynthesis II (animals)
PWY-5147	oleate biosynthesis I (plants)
PWY-6001	linoleate biosynthesis II (animals)
PWY-5995	linoleate biosynthesis I (plants)
PWY-6000	gamma-linolenate biosynthesis II (animals)
PWY-5998	gamma-linolenate biosynthesis I (plants)
PWYG-321	mycolate biosynthesis
PWY0-862	cis-dodecenoyl biosynthesis
PWY-6917	epoxy fatty acid biosynthesis
PWY-6799	fatty acid biosynthesis (plant mitochondria)
PWY-6710	poly-hydroxy fatty acids biosynthesis
PWY-6468	omega- hydroxylation of laurate
PWY-6465	omega-hydroxylation of caprate and laurate
PWY-5997	alpha-linolenate biosynthesis
PWY-5973	cis-vaccenate biosynthesis
PWY-5970	fatty acids biosynthesis (yeast)
PWY-5966	fatty acid biosynthesis initiation II
PWY-5965	fatty acid biosynthesis initiation III
PWY-5080	very long chain fatty acid biosynthesis
PWY-4381	fatty acid biosynthesis initiation I
FASYN-ELONG-PWY	fatty acid elongation -- saturated
PWY-3561	choline biosynthesis III
PWY-3542	choline biosynthesis II
PWY-3385	choline biosynthesis I
TRIGLSYN-PWY	triacylglycerol biosynthesis
SPHINGOLIPID-SYN-PWY	sphingolipid metabolism
SOPHOROSYLOXYDOCOSANOATE-SYN-PWY	sophorosyloxydocosanoate biosynthesis
PWYQT-4427	sulfolipid biosynthesis
PWY3DJ-12	ceramide biosynthesis
PWY3DJ-11281	sphingomyelin metabolism
PWY0-1264	biotin-carboxyl carrier protein assembly
PWY-782	glycolipid desaturation
PWY-6818	ornithine lipid biosynthesis
PWY-6804	diacylglycerol biosynthesis (PUFA enrichment in oilseed)
PWY-6803	phosphatidylcholine acyl editing
PWY-6453	stigma estolide biosynthesis
PWY-6129	dolichol and dolichyl phosphate biosynthesis
PWY-5885	wax esters biosynthesis II
PWY-5884	wax esters biosynthesis I
PWY-5148	acyl-CoA hydrolysis
PWY-5142	acyl-ACP thioesterase pathway
PWY-5129	sphingolipid biosynthesis (plants)
PWY-401	glycolipid biosynthesis
LIPA-CORESYN-PWY	Lipid A-core biosynthesis
KDO-LIPASYN-PWY	(KDO)2-lipid A biosynthesis I
PWY-6795	diacylglyceryl-N,N,N-trimethylhomoserine biosynthesis
PWY-6648	rhamnolipid biosynthesis
PWY-735	jasmonic acid biosynthesis
PWY-6297	tuberonate glucoside biosynthesis
PWY-6235	hydroxyjasmonate sulfate biosynthesis
PWY-6233	jasmonoyl-amino acid conjugates biosynthesis II
PWY-6220	jasmonoyl-amino acid conjugates biosynthesis I
PWY-6854	ethylene biosynthesis III (microbes)
PWY-6853	ethylene biosynthesis II (microbes)
ETHYL-PWY	ethylene biosynthesis I (plants)
PWY-5967	lupinate biosynthesis
PWY-2902	cytokinins-O-glucoside biosynthesis
PWY-2901	cytokinins 9-N-glucoside biosynthesis
PWY-2881	cytokinins 7-N-glucoside biosynthesis
PWY-2781	cis-zeatin biosynthesis
PWY-2681	trans-zeatin biosynthesis
PWY-699	brassinosteroid biosynthesis I
PWY-2582	brassinosteroid biosynthesis II
TRPIAACAT-PWY	tryptophan degradation VII (via indole-3-pyruvate)
PWY-6219	indole-3-acetyl-amino acid biosynthesis
PWY-581	IAA biosynthesis I
PWY-5026	IAA biosynthesis V
PWY-5025	IAA biosynthesis IV
PWY-3161	IAA biosynthesis VI (via indole-3-acetamide)
PWY-1921	IAA biosynthesis III
PWY-1822	IAA biosynthesis II
PWY-1741	IAA conjugate biosynthesis I
PWY-5271	phaseic acid biosynthesis
PWY-695	abscisic acid biosynthesis
PWY-6299	aldehyde oxidation I
PWY-6653	ent -kaurene biosynthesis II
PWY-5070	gibberellin biosynthesis I (non C-3, non C-13 hydroxylation)
PWY-5047	gibberellin biosynthesis IV (Gibberella fujikuroi)
PWY-5036	gibberellin biosynthesis II (early C-3 hydroxylation)
PWY-5035	gibberellin biosynthesis III (early C-13 hydroxylation)
PWY-5034	GA12 biosynthesis
PWY-5032	ent-kaurene biosynthesis I
PWY66-380	estrogen biosynthesis
PWY66-378	androgen biosynthesis
PWY66-377	pregnenolone biosynthesis
PWY66-375	leukotriene biosynthesis
PWY66-301	catecholamine biosynthesis
PWY-6650	juvenile hormone III biosynthesis II
PWY-6575	juvenile hormone III biosynthesis I
PWY-6241	thyroid hormone biosynthesis
PWY-6030	serotonin and melatonin biosynthesis
PYRIDOXSYN-PWY	pyridoxal 5-phosphate biosynthesis I
PWY-6466	pyridoxal 5-phosphate biosynthesis II
PLPSAL-PWY	pyridoxal 5-phosphate salvage pathway
PWY-6875	retinoate biosynthesis II
PWY-6872	retinoate biosynthesis I
PWY-6861	the visual cycle
PWY-6857	retinol biosynthesis
PWY-6910	hydroxymethylpyrimidine salvage
PWY-6899	base-degraded thiamin salvage
PWY-6898	thiamin salvage III
PWY-6896	thiamin salvage I
PWY-6909	thiazole biosynthesis III (eukaryotes)
PWY-6908	thiamin diphosphate biosynthesis IV (eukaryotes)
PWY-6907	thiamin diphosphate biosynthesis III (Staphylococcus)
PWY-6894	thiamin diphosphate biosynthesis I (E. coli)
PWY-6893	thiamin diphosphate biosynthesis II (Bacillus)
PWY-6892	thiazole biosynthesis I (E. coli)
PWY-6890	4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis
PWY-6891	thiazole biosynthesis II (Bacillus)
PWY-6654	phosphopantothenate biosynthesis III
PWY-3961	phosphopantothenate biosynthesis II
PANTO-PWY	phosphopantothenate biosynthesis I
PWY-6797	6-hydroxymethyl-dihydropterin diphosphate biosynthesis II (archaea)
PWY-6147	6-hydroxymethyl-dihydropterin diphosphate biosynthesis I
PWY-6614	tetrahydrofolate biosynthesis
PWY-6613	tetrahydrofolate salvage from 5,10-methenyltetrahydrofolate
PWY-6543	p-aminobenzoate biosynthesis
PWY-3841	folate transformations II
PWY-2201	folate transformations I
PWY-2161B	glutamate removal from folates
PWY-2161	folate polyglutamylation
1CMET2-PWY	formylTHF biosynthesis I
RIBOSYN2-PWY	flavin biosynthesis I (bacteria and plants)
PWY66-366	flavin biosynthesis IV (mammalian)
PWY-6168	flavin biosynthesis III (fungi)
PWY-6167	flavin biosynthesis II (archaea)
PWY-6269	adenosylcobalamin salvage from cobinamide II
PWY-6268	adenosylcobalamin salvage from cobalamin
COBALSYN-PWY	adenosylcobalamin salvage from cobinamide I
PWY-5523	5,6-dimethylbenzimidazole biosynthesis
PWY-5509	adenosylcobalamin biosynthesis from cobyrinate a,c-diamide I
PWY-5508	adenosylcobalamin biosynthesis from cobyrinate a,c-diamide II
PWY-5443	aminopropanol phosphate biosynthesis
PWY-6578	7-keto-8-aminopelargonate biosynthesis II
PWY-6519	7-keto-8-aminopelargonate biosynthesis I
PWY0-1507	biotin biosynthesis from 7-keto-8-aminopelargonate
PWY4FS-13	extended VTC2 cycle
PWY4FS-12	VTC2 cycle
PWY4FS-11	ascorbate biosynthesis II (L-gulose pathway)
PWY3DJ-35471	L-ascorbate biosynthesis VI
PWY-882	ascorbate biosynthesis I (L-galactose pathway)
PWY-6415	ascorbate biosynthesis VII
PWY-5521	L-ascorbate biosynthesis V
PWY-6076	1,25-dihydroxyvitamin D3 biosynthesis
PWY-5189	tetrapyrrole biosynthesis II
PWY-5188	tetrapyrrole biosynthesis I
PWY-5664	tetrahydrobiopterin biosynthesis II
PWY-5663	tetrahydrobiopterin biosynthesis I
PWY-4121	glutathionylspermidine biosynthesis
THIOREDOX-PWY	thioredoxin pathway
PWY8J2-1	bacillithiol biosynthesis
PWY1G-126	mycothiol oxidation
PWY1G-0	mycothiol biosynthesis
PWY-4181	glutathione amide metabolism
PWY-4081	glutathione redox reactions I
GLUTATHIONESYN-PWY	glutathione biosynthesis
GLUT-REDOX-PWY	glutathione redox reactions II
PWY3O-19	ubiquinol-6 biosynthesis (eukaryotic)
PWY-6708	ubiquinol-8 biosynthesis (prokaryotic)
PWY-5873	ubiquinol-7 biosynthesis (eukaryotic)
PWY-5872	ubiquinol-10 biosynthesis (eukaryotic)
PWY-5871	ubiquinol-9 biosynthesis (eukaryotic)
PWY-5870	ubiquinol-8 biosynthesis (eukaryotic)
PWY-5857	ubiquinol-10 biosynthesis (prokaryotic)
PWY-5856	ubiquinol-9 biosynthesis (prokaryotic)
PWY-5855	ubiquinol-7 biosynthesis (prokaryotic)
PWY-5889	rhodoquinone-9 biosynthesis
PWY-5888	rhodoquinone-10 biosynthesis
PWY-6978	plastoquinol-9 biosynthesis II
PWY-1581	plastoquinol-9 biosynthesis I
PWY-5027	phylloquinol biosynthesis
PWY-5895	menaquinol-13 biosynthesis
PWY-5892	menaquinol-12 biosynthesis
PWY-5891	menaquinol-11 biosynthesis
PWY-5890	menaquinol-10 biosynthesis
PWY-5849	menaquinol-6 biosynthesis
PWY-5844	menaquinol-9 biosynthesis
PWY-5839	menaquinol-7 biosynthesis
MENAQUINONESYN-PWY	menaquinol-8 biosynthesis
PWY-6793	demethylmenaquinol-8 biosynthesis III
PWY-6262	demethylmenaquinol-8 biosynthesis II
PWY-5852	demethylmenaquinol-8 biosynthesis I
PWY-5853	demethylmenaquinol-6 biosynthesis
PWY-5851	demethylmenaquinol-9 biosynthesis
PWY-5837	1,4-dihydroxy-2-naphthoate biosynthesis I
PWY-5791	1,4-dihydroxy-2-naphthoate biosynthesis II (plants)
PWY-1422	vitamin E biosynthesis
HEMESYN2-PWY	heme biosynthesis from uroporphyrinogen-III II
HEME-BIOSYNTHESIS-II	heme biosynthesis from uroporphyrinogen-III I
PWY-5531	chlorophyllide a biosynthesis II
CHLOROPHYLL-SYN	chlorophyllide a biosynthesis I
PWY-5086	chlorophyll a biosynthesis I
PWY-5068	chlorophyll cycle
PWY-5064	chlorophyll a biosynthesis II
PWY-5526	bacteriochlorophyll a biosynthesis
PWY-5297	siroheme amide biosynthesis
PWY-5194	siroheme biosynthesis
PWY-5120	geranylgeranyldiphosphate biosynthesis
PWY-5123	trans, trans-farnesyl diphosphate biosynthesis
PWY-6577	farnesylcysteine salvage pathway
PWY-6520	nonaprenyl diphosphate biosynthesis II
PWY-6383	mono-trans, poly-cis decaprenyl phosphate biosynthesis
PWY-5893	tridecaprenyl diphosphate biosynthesis
PWY-5817	dodecaprenyl diphosphate biosynthesis
PWY-5816	all trans undecaprenyl diphosphate biosynthesis
PWY-5807	heptaprenyl diphosphate biosynthesis
PWY-5806	all-trans-decaprenyl diphosphate biosynthesis
PWY-5805	nonaprenyl diphosphate biosynthesis I
PWY-5785	di-trans,poly-cis-undecaprenyl phosphate biosynthesis
PWY-5783	octaprenyl diphosphate biosynthesis
PWY-5122	geranyl diphosphate biosynthesis
NONMEVIPP-PWY	methylerythritol phosphate pathway
HEXPPSYN-PWY	hexaprenyl diphosphate biosynthesis
PYRIDNUCSYN-PWY	NAD biosynthesis I (from aspartate)
PYRIDNUCSAL-PWY	NAD salvage pathway I
PWY3O-4106	NAD salvage pathway III
PWY-5653	NAD biosynthesis from 2-amino-3-carboxymuconate semialdehyde
NAD-BIOSYNTHESIS-III	NAD biosynthesis III
PWY-5381	pyridine nucleotide cycling (plants)
PWY-5083	NAD/NADH phosphorylation and dephosphorylation
NADPHOS-DEPHOS-PWY	NAD phosphorylation and dephosphorylation
PWY-6823	molybdenum cofactor biosynthesis
PWY0-522	lipoate salvage and modification
PWY0-501	lipoate biosynthesis and incorporation I
PWY0-1275	lipoate biosynthesis and incorporation II
PWY-6643	coenzyme M biosynthesis II
P261-PWY	coenzyme M biosynthesis I
PWY-5796	2-(5-phosphoribosyl)-3-dephospho-CoA biosynthesis II (malonate decarboxylase)
P2-PWY	2-(5-phosphoribosyl)-3-dephospho-CoA biosynthesis I (citrate lyase)
COA-PWY	coenzyme A biosynthesis
SAM-PWY	S-adenosyl-L-methionine biosynthesis
PWY0-1433	tetrahydromonapterin biosynthesis
PWY-922	mevalonate pathway I
PWY-6476	cytidylyl molybdenum cofactor biosynthesis
PWY-6420	pyrroloquinoline quinone biosynthesis
PWY-6174	mevalonate pathway II (archaea)
PWY-6148	tetrahydromethanopterin biosynthesis
PWY-6012	acyl carrier protein metabolism
PWY-5964	guanylyl molybdenum cofactor biosynthesis
PWY-5963	thio-molybdenum cofactor biosynthesis
PWY-5917	phycocyanobilin biosynthesis
PWY-5915	phycoerythrobilin biosynthesis
PWY-5499	vitamin B6 degradation
PWY-5254	methanofuran biosynthesis
PWY-5207	coenzyme B/coenzyme M regeneration
PWY-5199	factor 420 polyglutamylation
PWY-5198	factor 420 biosynthesis
PWY-5196	factor 430 biosynthesis
P241-PWY	coenzyme B biosynthesis
PWY-5800	xylan biosynthesis
PWY-361	phenylpropanoid biosynthesis
PWY-321	cutin biosynthesis
PWY-282	cuticular wax biosynthesis
PWY-6733	sporopollenin precursor biosynthesis
PWY-1121	suberin biosynthesis
UDPNAGSYN-PWY	UDP-N-acetyl-D-glucosamine biosynthesis I
NAGLIPASYN-PWY	lipid IVA biosynthesis
PWY0-1338	polymyxin resistance
KDOSYN-PWY	KDO transfer to lipid IVA I
PWY-6463	peptidoglycan cross-bridge biosynthesis IV (Weissella viridescens)
PWY-6462	peptidoglycan cross-bridge biosynthesis III (Enterococcus faecalis)
PWY-6461	peptidoglycan cross-bridge biosynthesis II (E. faecium)
PWY-6459	peptidoglycan cross-bridge biosynthesis I (S. aureus)
PWY-6455	vancomycin resistance II
PWY-6454	vancomycin resistance I
PWY-6397	mycolyl-arabinogalactan-peptidoglycan complex biosynthesis
PWY-6387	UDP-N-acetylmuramoyl-pentapeptide biosynthesis III (meso-DAP-containing)
PWY-6386	UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)
TEICHOICACID-PWY	teichoic acid (poly-glycerol) biosynthesis
PWY-6626	CDP-2-glycerol biosynthesis
PWY-5514	UDP-N-acetyl-D-galactosamine biosynthesis II
PWY-5512	UDP-N-acetyl-D-galactosamine biosynthesis I
ECASYN-PWY	enterobacterial common antigen biosynthesis
PWY-6568	dermatan sulfate biosynthesis (late stages)
PWY-6567	chondroitin sulfate biosynthesis (late stages)
PWY-6566	chondroitin and dermatan biosynthesis
PWY-6558	heparan sulfate biosynthesis (late stages)
PWY-6557	glycoaminoglycan-protein linkage region biosynthesis
PWY-622	starch biosynthesis
PWY-5067	glycogen biosynthesis II (from UDP-D-Glucose)
GLYCOGENSYNTH-PWY	glycogen biosynthesis I (from ADP-D-Glucose)
PWY-6082	alginate biosynthesis II
PWY-6073	alginate biosynthesis I
PWY-6773	callose biosynthesis
PWY-6658	acetan biosynthesis
PWY-6655	xanthan biosynthesis
PWY-6403	carrageenan biosynthesis
PWY-5980	xylogalacturonan biosynthesis
PWY-5936	xyloglucan biosynthesis
PWY-6778	laminaribiose biosynthesis
PWY-6525	stellariose and mediose biosynthesis
PWY-6524	lychnose biosynthesis
PWY-6116	mannosylfructose biosynthesis
PWY-5343	ajugose biosynthesis II (galactinol-independent)
PWY-5342	ajugose biosynthesis I (galactinol-dependent)
PWY-5337	stachyose biosynthesis
MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS	dolichyl-diphosphooligosaccharide biosynthesis
TRESYN-PWY	trehalose biosynthesis I
TREHALOSESYN-PWY	trehalose biosynthesis III
PWY-881	trehalose biosynthesis II
PWY-5985	trehalose biosynthesis VII
PWY-5983	trehalose biosynthesis VI
PWY-2661	trehalose biosynthesis V
PWY-2622	trehalose biosynthesis IV
PWY-5530	sorbitol biosynthesis II
PWY-5054	sorbitol biosynthesis I
PWY-6739	pinitol biosynthesis II
PWY-6738	pinitol biosynthesis I
PWY-3881	mannitol biosynthesis
PWY-3261	UDP-L-rhamnose biosynthesis
PWY-3221	dTDP-L-rhamnose biosynthesis II
GDPRHAMSYN-PWY	GDP-D-rhamnose biosynthesis
DTDPRHAMSYN-PWY	dTDP-L-rhamnose biosynthesis I
PWY-5659	GDP-mannose biosynthesis
PWY-6139	CMP-N-acetylneuraminate biosynthesis II (bacteria)
PWY-6138	CMP-N-acetylneuraminate biosynthesis I (eukaryotes)
PWY0-1241	ADP-L-glycero-beta-D-manno-heptose biosynthesis
PWY-82	UDP-L-arabinose biosynthesis II (from L-arabinose)
PWY-6976	dTDP-L-mycarose biosynthesis
PWY-6974	dTDP-L-olivose biosynthesis
PWY-6973	dTDP-D-olivose, dTDP-D-oliose and dTDP-D-mycarose biosynthesis
PWY-6953	dTDP-3-acetamido-3,6-dideoxy-alpha-D-galactose biosynthesis
PWY-6942	dTDP-D-desosamine biosynthesis
PWY-6749	CMP-legionaminate biosynthesis
PWY-66	GDP-L-fucose biosynthesis I (from GDP-D-mannose)
PWY-6478	GDP-D-glycero-alpha-D-manno-heptose biosynthesis
PWY-63	UDP-L-arabinose biosynthesis I (from UDP-xylose)
PWY-6144	CMP-N-glycoloylneuraminate biosynthesis
PWY-6140	CMP-2-keto-3-deoxy-D-glycero-D-galacto-nononate biosynthesis
PWY-6	GDP-L-fucose biosynthesis II (from L-fucose)
PWY-5834	CDP-tyvelose biosynthesis
PWY-5833	CDP-3,6-dideoxyhexose biosynthesis
PWY-5832	CDP-paratose biosynthesis
PWY-5831	CDP-abequose biosynthesis
PWY-5830	CDP-ascarylose biosynthesis
PWY-5740	GDP-L-colitose biosynthesis
PWY-5739	GDP-alpha-D-perosamine biosynthesis
PWY-5738	GDP-6-deoxy-D-talose biosynthesis
PWY-5661	GDP-glucose biosynthesis
PWY-5115	GDP-L-galactose biosynthesis
PWY-3821	galactose degradation III
PWY-5111	CMP-KDO biosynthesis II (from D-arabinose 5-phosphate)
PWY-4861	UDP-D-galacturonate biosynthesis I (from UDP-D-glucuronate)
PWY-4841	UDP-D-glucuronate biosynthesis (from myo-inositol)
PWY-4821	UDP-D-xylose and UDP-D-glucuronate biosynthesis
PWY-4	UDP-D-galacturonate biosynthesis II (from D-galacturonate)
PWY-1269	CMP-KDO biosynthesis I
PWY-5113	UDP-D-apiose biosynthesis (from UDP-D-glucuronate)
GLUCONEO-PWY	gluconeogenesis I
SUCSYN-PWY	sucrose biosynthesis
PWY-842	starch degradation I
PWY-822	fructan biosynthesis
PWY-6724	starch degradation II
PWY-6143	CMP-pseudaminate biosynthesis
PWY-1061	homogalacturonan biosynthesis
PWY-1001	cellulose biosynthesis
GLYCOCAT-PWY	glycogen degradation I
CALVIN-PWY	Calvin-Benson-Bassham cycle
PWY-862	fructan degradation
PWY-6622	heptadecane biosynthesis
PWY-6333	acetaldehyde biosynthesis I
PWY-6330	acetaldehyde biosynthesis II
PWY-5782	2-keto-L-gulonate biosynthesis
PWY-5750	itaconate biosynthesis
TRNA-CHARGING-PWY	tRNA charging
VALSYN-PWY	valine biosynthesis
TYRSYN	tyrosine biosynthesis I
PWY-6134	tyrosine biosynthesis IV
PWY-6120	tyrosine biosynthesis III
PWY-3461	tyrosine biosynthesis II
TRPSYN-PWY	tryptophan biosynthesis
HOMOSER-THRESYN-PWY	threonine biosynthesis from homoserine
PWY0-901	selenocysteine biosynthesis I (bacteria)
PWY-6281	selenocysteine biosynthesis II (archaea and eukaryotes)
SERSYN-PWY	serine biosynthesis
PWY-6196	serine racemization
PWY-4981	proline biosynthesis II (from arginine)
PWY-4281	proline biosynthesis IV
PWY-3341	proline biosynthesis III
PROSYN-PWY	proline biosynthesis I
ARG-PRO-PWY	arginine degradation VI (arginase 2 pathway)
PWY-3462	phenylalanine biosynthesis II
PHESYN	phenylalanine biosynthesis I
PWY-4921	protein citrullination
CITRULBIO-PWY	citrulline biosynthesis
PWY-6922	L-Ndelta-acetylornithine biosynthesis
PWY-5957	nicotianamine biosynthesis
PWY-5344	homocysteine biosynthesis
PWY-5331	taurine biosynthesis
PWY-1186	homomethionine biosynthesis
HOMOSERSYN-PWY	homoserine biosynthesis
GLUTORN-PWY	ornithine biosynthesis
PWY-5041	S-adenosyl-L-methionine cycle II
PWY-702	methionine biosynthesis II
PWY-5441	S-methylmethionine cycle
HSERMETANA-PWY	methionine biosynthesis III
HOMOSER-METSYN-PWY	methionine biosynthesis I
ADENOSYLHOMOCYSCAT-PWY	methionine salvage II (mammalia)
PWY-6755	S-methyl-5-thio-alpha-D-ribose 1-phosphate degradation
PWY-5097	lysine biosynthesis VI
PWY-3081	lysine biosynthesis V
PWY-2942	lysine biosynthesis III
PWY-2941	lysine biosynthesis II
LYSINE-AMINOAD-PWY	lysine biosynthesis IV
DAPLYSINESYN-PWY	lysine biosynthesis I
LEUSYN-PWY	leucine biosynthesis
PWY-5108	isoleucine biosynthesis V
PWY-5104	isoleucine biosynthesis IV
PWY-5103	isoleucine biosynthesis III
PWY-5101	isoleucine biosynthesis II
ILEUSYN-PWY	isoleucine biosynthesis I (from threonine)
HISTSYN-PWY	histidine biosynthesis
GLYSYN-THR-PWY	glycine biosynthesis IV
GLYSYN-PWY	glycine biosynthesis I
GLYSYN-ALA-PWY	glycine biosynthesis III
GLYCINE-SYN2-PWY	glycine biosynthesis II
PWY-6549	glutamine biosynthesis III
PWY-5921	L-glutamine biosynthesis II (tRNA-dependent)
GLNSYN-PWY	glutamine biosynthesis I
PWY-4341	glutamate biosynthesis V
GLUTSYNIII-PWY	glutamate biosynthesis III
GLUTSYN-PWY	glutamate biosynthesis I
GLUTAMATE-SYN2-PWY	glutamate biosynthesis II
GLUGLNSYN-PWY	glutamate biosynthesis IV
ARGASEDEG-PWY	arginine degradation I (arginase pathway)
PWY-6308	cysteine biosynthesis II (RNA-dependent)
HOMOCYSDEGR-PWY	cysteine biosynthesis/homocysteine degradation
CYSTSYN-PWY	cysteine biosynthesis I
PWY-5760	beta-alanine biosynthesis IV
PWY-5155	beta-alanine biosynthesis III
PWY-3981	beta-alanine biosynthesis I
PWY-3941	beta-alanine biosynthesis II
PWY-3982	uracil degradation II (reductive)
GLUTDEG-PWY	glutamate degradation II
ASPARTATESYN-PWY	aspartate biosynthesis
ASPSYNII-PWY	cyanide detoxification II
ASPARAGINESYN-PWY	asparagine biosynthesis II
ASPARAGINE-BIOSYNTHESIS	asparagine biosynthesis I
PWY490-4	asparagine biosynthesis III (tRNA-dependent)
PWY-4983	citrulline-nitric oxide cycle
PWY-5154	arginine biosynthesis III
ARGSYNBSUB-PWY	arginine biosynthesis II (acetyl cycle)
ARGININE-SYN4-PWY	arginine biosynthesis IV
PWY0-1021	alanine biosynthesis III
ALANINE-VALINESYN-PWY	alanine biosynthesis I
ALANINE-SYN2-PWY	alanine biosynthesis II
