short_name	long_name
PWY-6987	lipoate biosynthesis and incorporation III (Bacillus)
PWY0-522	lipoate salvage I
PWY-5188	tetrapyrrole biosynthesis I (from glutamate)
PWY-5189	tetrapyrrole biosynthesis II (from glycine)
PWY-4242	pantothenate and coenzyme A biosynthesis III
PANTOSYN-PWY	pantothenate and coenzyme A biosynthesis I
COA-PWY	coenzyme A biosynthesis
PWY-4221	pantothenate and coenzyme A biosynthesis II
PWY-5796	2-(5-phosphoribosyl)-3-dephospho-CoA biosynthesis II (malonate decarboxylase)
P2-PWY	2-(5-phosphoribosyl)-3-dephospho-CoA biosynthesis I (citrate lyase)
PWY-4041	gamma-glutamyl cycle
PWY-4081	glutathione redox reactions I
PWY-4181	glutathione amide metabolism
PWY1G-126	mycothiol oxidation
GLUT-REDOX-PWY	glutathione redox reactions II
PWY8J2-1	bacillithiol biosynthesis
GLUTATHIONESYN-PWY	glutathione biosynthesis
THIOREDOX-PWY	thioredoxin pathway
PWY1G-0	mycothiol biosynthesis
PWY-6823	molybdenum cofactor biosynthesis
PWY-5664	tetrahydrobiopterin biosynthesis II
PWY-6983	tetrahydrobiopterin biosynthesis III
PWY-5663	tetrahydrobiopterin biosynthesis I
PWY-6643	coenzyme M biosynthesis II
P261-PWY	coenzyme M biosynthesis I
PWY-5817	dodecaprenyl diphosphate biosynthesis
PWY-6383	mono-trans, poly-cis decaprenyl phosphate biosynthesis
PWY-5785	di-trans,poly-cis-undecaprenyl phosphate biosynthesis
POLYISOPRENSYN-PWY	polyisoprenoid biosynthesis (E. coli)
HEXPPSYN-PWY	hexaprenyl diphosphate biosynthesis
PWY-5805	nonaprenyl diphosphate biosynthesis I
PWY-6520	nonaprenyl diphosphate biosynthesis II
PWY-5806	all-trans-decaprenyl diphosphate biosynthesis
PWY-5122	geranyl diphosphate biosynthesis
PWY-5893	tridecaprenyl diphosphate biosynthesis
NONMEVIPP-PWY	methylerythritol phosphate pathway
PWY-5807	heptaprenyl diphosphate biosynthesis
PWY-5783	octaprenyl diphosphate biosynthesis
PWY-5816	all trans undecaprenyl diphosphate biosynthesis
PWY-5120	geranylgeranyldiphosphate biosynthesis
PWY-5123	trans, trans-farnesyl diphosphate biosynthesis
PWY-6577	farnesylcysteine salvage pathway
PWY-1422	vitamin E biosynthesis
PWY-5027	phylloquinol biosynthesis
RIBOSYN2-PWY	flavin biosynthesis I (bacteria and plants)
PWY-6167	flavin biosynthesis II (archaea)
PWY66-366	flavin biosynthesis IV (mammalian)
PWY-6168	flavin biosynthesis III (fungi)
PWY-6890	4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis
PWY-6893	thiamin diphosphate biosynthesis II (Bacillus)
THISYNARA-PWY	superpathway of thiamin diphosphate biosynthesis III (eukaryotes)
PWY-6909	thiazole biosynthesis III (eukaryotes)
PWY-6908	thiamin diphosphate biosynthesis IV (eukaryotes)
PWY-6895	superpathway of thiamin diphosphate biosynthesis II
PWY-6907	thiamin diphosphate biosynthesis III (Staphylococcus)
PWY-6892	thiazole biosynthesis I (E. coli)
PWY-6891	thiazole biosynthesis II (Bacillus)
PWY-6894	thiamin diphosphate biosynthesis I (E. coli)
THISYN-PWY	superpathway of thiamin diphosphate biosynthesis I
PWY-6899	base-degraded thiamin salvage
PWY-6896	thiamin salvage I
PWY-6897	thiamin salvage II
PWY-6910	hydroxymethylpyrimidine salvage
PWY-6898	thiamin salvage III
PWY-6654	phosphopantothenate biosynthesis III
PANTO-PWY	phosphopantothenate biosynthesis I
PWY-3961	phosphopantothenate biosynthesis II
FOLSYN-PWY	superpathway of tetrahydrofolate biosynthesis and salvage
PWY-3841	folate transformations II
PWY-6543	4-aminobenzoate biosynthesis
PWY-6614	tetrahydrofolate biosynthesis
1CMET2-PWY	formylTHF biosynthesis I
PWY-2201	folate transformations I
PWY-6612	superpathway of tetrahydrofolate biosynthesis
PWY-2161	folate polyglutamylation
PWY-6613	tetrahydrofolate salvage from 5,10-methenyltetrahydrofolate
PWY-2161B	glutamate removal from folates
PWY-6797	6-hydroxymethyl-dihydropterin diphosphate biosynthesis II (archaea)
PWY-6147	6-hydroxymethyl-dihydropterin diphosphate biosynthesis I
PWY-6415	L-ascorbate biosynthesis V
PWY-882	L-ascorbate biosynthesis I (L-galactose pathway)
PWY-5521	L-ascorbate biosynthesis III
PWY-7165	L-ascorbate biosynthesis VI (engineered pathway)
PWY3DJ-35471	L-ascorbate biosynthesis IV
PWY4FS-11	L-ascorbate biosynthesis II (L-gulose pathway)
PYRIDOXSYN-PWY	pyridoxal 5-phosphate biosynthesis I
PWY0-845	superpathway of pyridoxal 5-phosphate biosynthesis and salvage
PWY-7204	vitamin B6 salvage (plants)
PLPSAL-PWY	pyridoxal 5-phosphate salvage pathway
PWY-6466	pyridoxal 5-phosphate biosynthesis II
BIOTIN-BIOSYNTHESIS-PWY	biotin biosynthesis I
PWY0-1507	biotin biosynthesis from 7-keto-8-aminopelargonate
PWY-5005	biotin biosynthesis II
PWY-6519	7-keto-8-aminopelargonate biosynthesis I
PWY-6578	7-keto-8-aminopelargonate biosynthesis III
PWY-7147	7-keto-8-aminopelargonate biosynthesis II
PWY-5509	adenosylcobalamin biosynthesis from cobyrinate a,c-diamide I
PWY-5443	aminopropanol phosphate biosynthesis
PWY-5508	adenosylcobalamin biosynthesis from cobyrinate a,c-diamide II
PWY-5523	5,6-dimethylbenzimidazole biosynthesis
P381-PWY	adenosylcobalamin biosynthesis II (late cobalt incorporation)
PWY-6269	adenosylcobalamin salvage from cobinamide II
COBALSYN-PWY	adenosylcobalamin salvage from cobinamide I
PWY-6268	adenosylcobalamin salvage from cobalamin
PWY-5507	adenosylcobalamin biosynthesis I (early cobalt insertion)
PWY-6872	retinoate biosynthesis I
PWY-6857	retinol biosynthesis
PWY-6875	retinoate biosynthesis II
PWY-7042	the visual cycle (insects)
PWY-7041	the visual cycle II (molluscs)
PWY-7043	11-cis-3-hydroxyretinal biosynthesis
PWY-6861	the visual cycle I (vertebrates)
PWY-5837	1,4-dihydroxy-2-naphthoate biosynthesis I
PWY-5888	rhodoquinone-10 biosynthesis
PWY-5889	rhodoquinone-9 biosynthesis
PWY-5863	superpathway of phylloquinol biosynthesis
PWY-5864	superpathway of plastoquinol biosynthesis
PWY-6978	plastoquinol-9 biosynthesis II
PWY-1581	plastoquinol-9 biosynthesis I
PWY-5871	ubiquinol-9 biosynthesis (eukaryotic)
PWY3O-19	ubiquinol-6 biosynthesis (eukaryotic)
PWY-5873	ubiquinol-7 biosynthesis (eukaryotic)
PWY-5857	ubiquinol-10 biosynthesis (prokaryotic)
PWY-5855	ubiquinol-7 biosynthesis (prokaryotic)
PWY-5870	ubiquinol-8 biosynthesis (eukaryotic)
UBISYN-PWY	superpathway of ubiquinol-8 biosynthesis (prokaryotic)
PWY-6708	ubiquinol-8 biosynthesis (prokaryotic)
PWY-5872	ubiquinol-10 biosynthesis (eukaryotic)
PWY-5856	ubiquinol-9 biosynthesis (prokaryotic)
PWY-5890	menaquinol-10 biosynthesis
PWY-5845	superpathway of menaquinol-9 biosynthesis
PWY-5891	menaquinol-11 biosynthesis
PWY-6263	superpathway of menaquinol-8 biosynthesis II
PWY-5840	superpathway of menaquinol-7 biosynthesis
PWY-5844	menaquinol-9 biosynthesis
PWY-5849	menaquinol-6 biosynthesis
PWY-5892	menaquinol-12 biosynthesis
MENAQUINONESYN-PWY	menaquinol-8 biosynthesis
PWY-5839	menaquinol-7 biosynthesis
PWY-5896	superpathway of menaquinol-10 biosynthesis
PWY-5850	superpathway of menaquinol-6 biosynthesis
PWY-5895	menaquinol-13 biosynthesis
PWY-5898	superpathway of menaquinol-12 biosynthesis
PWY-5838	superpathway of menaquinol-8 biosynthesis I
PWY-5899	superpathway of menaquinol-13 biosynthesis
PWY-5897	superpathway of menaquinol-11 biosynthesis
PWY-5860	superpathway of demethylmenaquinol-6 biosynthesis
PWY-5861	superpathway of demethylmenaquinol-8 biosynthesis
PWY-5851	demethylmenaquinol-9 biosynthesis
PWY-5853	demethylmenaquinol-6 biosynthesis
PWY-5862	superpathway of demethylmenaquinol-9 biosynthesis
PWY-6793	demethylmenaquinol-8 biosynthesis III
PWY-5852	demethylmenaquinol-8 biosynthesis I
PWY-6262	demethylmenaquinol-8 biosynthesis II
NADPHOS-DEPHOS-PWY	NAD phosphorylation and dephosphorylation
PWY-5083	NAD/NADH phosphorylation and dephosphorylation
PWY-5381	pyridine nucleotide cycling (plants)
PYRIDNUCSYN-PWY	NAD biosynthesis I (from aspartate)
PYRIDNUCSAL-PWY	NAD salvage pathway I
NADSYN-PWY	NAD biosynthesis II (from tryptophan)
PWY-3502	superpathway of NAD biosynthesis in eukaryotes
NAD-BIOSYNTHESIS-III	NAD biosynthesis III
PWY3O-4106	NAD salvage pathway III
NAD-BIOSYNTHESIS-II	NAD salvage pathway II
PWY-5653	NAD biosynthesis from 2-amino-3-carboxymuconate semialdehyde
PWY-6320	phaselate biosynthesis
PWY-5787	oligomeric urushiol biosynthesis
PWY-6539	petivericin biosynthesis
PWY-6323	benzoylanthranilate biosynthesis
PWY-5886	4-hydroxyphenylpyruvate biosynthesis
PWY-5901	2,3-dihydroxybenzoate biosynthesis
PWY-6707	gallate biosynthesis
PWY-6458	benzoyl-CoA biosynthesis
PWY-6752	o-diquinones biosynthesis
ARO-PWY	chorismate biosynthesis I
PWY-6163	chorismate biosynthesis from 3-dehydroquinate
PWY-6165	chorismate biosynthesis II (archaea)
PWY-6164	3-dehydroquinate biosynthesis I
PWY-6160	3-dehydroquinate biosynthesis II (archaea)
PWY-5754	4-hydroxybenzoate biosynthesis I (eukaryotes)
PWY-5755	4-hydroxybenzoate biosynthesis II (bacteria and fungi)
PWY3O-1109	superpathway of 4-hydroxybenzoate biosynthesis (yeast)
PWY-6431	4-hydroxybenzoate biosynthesis IV
PWY-6435	4-hydroxybenzoate biosynthesis V
PWY-5294	superpathway of sulfide oxidation (Acidithiobacillus ferrooxidans)
PWY-6544	superpathway of C28 brassinosteroid biosynthesis
GLYCOLYSIS-TCA-GLYOX-BYPASS	superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass
PWY-6396	superpathway of 2,3-butanediol biosynthesis
PWY-6516	superpathway of microbial D-galacturonate and D-glucuronate degradation
SULFATE-CYS-PWY	superpathway of sulfate assimilation and cysteine biosynthesis
GLCMANNANAUT-PWY	superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation
PWY-5178	toluene degradation IV (aerobic) (via catechol)
FUC-RHAMCAT-PWY	superpathway of fucose and rhamnose degradation
PWY-6632	caffeine degradation IV (bacteria, via demethylation and oxidation)
PWY-5062	superpathway of nicotinate degradation
PWY-6956	naphthalene degradation to acetyl-CoA
PWY-5328	superpathway of methionine degradation
PWY-5705	allantoin degradation to glyoxylate III
SO4ASSIM-PWY	sulfate reduction I (assimilatory)
PWY-7084	nitrifier denitrification
ORNARGDEG-PWY	superpathway of arginine and ornithine degradation
P281-PWY	3-phenylpropionate degradation
P41-PWY	pyruvate fermentation to acetate and lactate I
PWY4LZ-257	superpathway of fermentation (Chlamydomonas reinhardtii)
PWY-6641	superpathway of sulfolactate degradation
PWY4FS-5	superpathway of phosphatidylcholine biosynthesis
PWY0-781	aspartate superpathway
PWY-5130	2-oxobutanoate degradation I
PWY-5692	allantoin degradation to glyoxylate II
PWY-5991	superpathway of linamarin and lotaustralin biosynthesis
PWY-5327	superpathway of lysine degradation
PWY-5304	superpathway of sulfur oxidation (Acidianus ambivalens)
PWY-5088	glutamate degradation VIII (to propionate)
TCA-GLYOX-BYPASS	superpathway of glyoxylate bypass and TCA
PWY-6830	superpathway of methanogenesis
GLUCARGALACTSUPER-PWY	superpathway of D-glucarate and D-galactarate degradation
PWY-5485	pyruvate fermentation to acetate IV
ACETATEUTIL-PWY	superpathway of acetate utilization and formation
ALL-CHORISMATE-PWY	superpathway of chorismate metabolism
PWY-6590	superpathway of Clostridium acetobutylicum acidogenic fermentation
BENZCOA-PWY	anaerobic aromatic compound degradation (Thauera aromatica)
PWY-1701	methanol and methylamine oxidation to formaldehyde
PWY-5306	superpathway of thiosulfate metabolism (Desulfovibrio sulfodismutans)
PWY-1541	superpathway of taurine degradation
PROPFERM-PWY	L-alanine fermentation to propionate and acetate
PWY-5724	superpathway of atrazine degradation
PWY-6937	superpathway of testosterone and androsterone degradation
PWY-5360	superpathway of tetrathionate reduction (Salmonella typhimurium)
PWY-5767	glycogen degradation III
PWY-6353	purine nucleotides degradation II (aerobic)
PWY-5273	p-cumate degradation
PWY-6947	superpathway of cholesterol degradation II (cholesterol dehydrogenase)
PWY-6176	superpathway of alliin degradation
PWY-6594	superpathway of Clostridium acetobutylicum solventogenic fermentation
PWY-5694	allantoin degradation to glyoxylate I
PWY-1782	superpathway of indole-3-acetate conjugate biosynthesis
PWY0-1298	superpathway of pyrimidine deoxyribonucleosides degradation
PWY-5181	toluene degradation III (aerobic) (via p-cresol)
PWY-6928	superpathway of cholesterol degradation I (cholesterol oxidase)
PWY-7124	ethylene biosynthesis V
GLUDEG-II-PWY	glutamate degradation VII (to butanoate)
PWY0-1277	3-phenylpropionate and 3-(3-hydroxyphenyl)propionate degradation
PWY-6505	tryptophan degradation XII (Geobacillus)
PWY-6962	superpathway of trimethylamine degradation
PWY-5464	superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle
PWY-5182	toluene degradation II (aerobic) (via 4-methylcatechol)
PWY-5647	2-nitrobenzoate degradation I
PWY-561	superpathway of glyoxylate cycle and fatty acid degradation
PWY-3621	gamma-butyrobetaine degradation
AMMASSIM-PWY	ammonia assimilation cycle III
PWY-6072	superpathway of dimethylsulfone degradation
ARGDEGRAD-PWY	arginine degradation V (arginine deiminase pathway)
TRYPTOPHAN-DEGRADATION-1	tryptophan degradation III (eukaryotic)
PWY0-41	allantoin degradation IV (anaerobic)
PWY-5538	pyruvate fermentation to acetate VI
PWY-6595	superpathway of guanosine nucleotides degradation (plants)
PWY-6049	superpathway of dimethylsulfoniopropionate degradation
PWY-5184	toluene degradation VI (anaerobic)
PWY-6957	mandelate degradation to acetyl-CoA
PWY-3282	superpathway of ammonia assimilation (plants)
PWY-5096	pyruvate fermentation to acetate and alanine
PWY-6954	superpathway of aromatic compound degradation via 2-oxopent-4-enoate
ORNDEG-PWY	superpathway of ornithine degradation
PWY-5417	catechol degradation III (ortho-cleavage pathway)
ARGORNPROST-PWY	arginine, ornithine and proline interconversion
PWY-1882	superpathway of C1 compounds oxidation to CO2
PWY-5183	superpathway of aerobic toluene degradation
PWY-6901	xylose degradation IV
PWY3O-210	glutamate degradation IX (via 4-aminobutyrate)
PWY-5179	toluene degradation V (aerobic) (via toluene-cis-diol)
4AMINOBUTMETAB-PWY	superpathway of 4-aminobutyrate degradation
PWY-5537	pyruvate fermentation to acetate V
PWY-3801	sucrose degradation VI (anaerobic)
PWY-6604	superpathway of Clostridium acetobutylicum acidogenic and solventogenic fermentation
PWY-6309	tryptophan degradation XI (mammalian, via kynurenine)
PWY-6751	superpathway of hydrogen production
PWY-7024	superpathway of the 3-hydroxypropionate cycle
PWY-5483	pyruvate fermentation to acetate III
PWY-5600	pyruvate fermentation to acetate VII
ARGDEG-PWY	superpathway of arginine, putrescine, and 4-aminobutyrate degradation
ALLANTOINDEG-PWY	superpathway of allantoin degradation in yeast
P441-PWY	superpathway of N-acetylneuraminate degradation
PWY-5415	catechol degradation I (meta-cleavage pathway)
URDEGR-PWY	superpathway of allantoin degradation in plants
PWY-5717	superpathway of formononetin derivative biosynthesis
PWY-5431	aromatic compounds degradation via beta-ketoadipate
PWY-6676	superpathway of sulfide oxidation (phototrophic sulfur bacteria)
PWY-7003	glycerol degradation to butanol
GOLPDLCAT-PWY	superpathway of glycerol degradation to 1,3-propanediol
GLYCOLYSIS-E-D	superpathway of glycolysis and Entner-Doudoroff
PWY-5308	superpathway of sulfur metabolism (Desulfocapsa sulfoexigens)
PWY-5430	meta cleavage pathway of aromatic compounds
PWY-6234	superpathway of jasmonoyl-amino acid conjugates biosynthesis
PWY-5173	superpathway of acetyl-CoA biosynthesis
GALACT-GLUCUROCAT-PWY	superpathway of hexuronide and hexuronate degradation
PENTOSE-P-PWY	pentose phosphate pathway
PWY-6338	superpathway of vanillin and vanillate degradation
P165-PWY	superpathway of purines degradation in plants
GLYCOL-GLYOXDEG-PWY	superpathway of glycol metabolism and degradation
PWY-5655	tryptophan degradation IX
HEXITOLDEGSUPER-PWY	superpathway of hexitol degradation
PWY-5676	acetyl-CoA fermentation to butyrate II
ANAEROFRUCAT-PWY	homolactic fermentation
PWY-7082	ammonia oxidation IV (autotrophic ammonia oxidizers)
PWY-5335	superpathway of sulfide oxidation (Starkeya novella)
PWY-2504	superpathway of aromatic compound degradation via 3-oxoadipate
PWY0-381	glycerol and glycerophosphodiester degradation
PWY-6266	superpathway of flavones and derivatives biosynthesis
P125-PWY	superpathway of (R,R)-butanediol biosynthesis
PWY-6886	1-butanol autotrophic biosynthesis
PRPP-PWY	superpathway of histidine, purine, and pyrimidine biosynthesis
PWY-6402	superpathway of melatonin degradation
P461-PWY	hexitol fermentation to lactate, formate, ethanol and acetate
PWY-5257	superpathway of pentose and pentitol degradation
PWY-6182	superpathway of salicylate degradation
PWY-7209	superpathway of pyrimidine ribonucleosides degradation
PWY-5420	catechol degradation II (meta-cleavage pathway)
PWY-5100	pyruvate fermentation to acetate and lactate II
PWY-5266	p-cymene degradation
PWY-6339	syringate degradation
METHGLYUT-PWY	superpathway of methylglyoxal degradation
PHOTOALL-PWY	oxygenic photosynthesis
PWY0-1297	superpathway of purine deoxyribonucleosides degradation
P142-PWY	pyruvate fermentation to acetate I
PWY-6071	superpathway of phenylethylamine degradation
PWY-5180	toluene degradation I (aerobic) (via o-cresol)
PWY-5459	methylglyoxal degradation IV
KETOGLUCONMET-PWY	ketogluconate metabolism
PWY-5044	purine nucleotides degradation I (plants)
PWY-6517	N-acetylglucosamine degradation II
PWY-6688	thyronamine and iodothyronamine metabolism
PWY-6313	serotonin degradation
PWY-6342	noradrenaline and adrenaline degradation
PWY-6399	melatonin degradation II
PWY-6398	melatonin degradation I
PWY-6400	melatonin degradation III
PWY-6261	thyroid hormone metabolism II (via conjugation and/or degradation)
PWY-6260	thyroid hormone metabolism I (via deiodination)
PWY-1961	IAA degradation I
PWY-5788	IAA degradation V
PWY-1981	IAA degradation III
PWY-5784	IAA conjugate biosynthesis II
PWY-2021	IAA degradation IV
PWY-1962	IAA degradation II
PWY-5811	IAA degradation VII
PWY-5797	IAA degradation VI
PWY-6948	sitosterol degradation to androstenedione
PWY-6943	testosterone and androsterone degradation to androstendione
PWY-6944	androstenedione degradation
PWY-6945	cholesterol degradation to androstenedione I (cholesterol oxidase)
PWY-6946	cholesterol degradation to androstenedione II (cholesterol dehydrogenase)
PWY0-1546	muropeptide degradation
PWY-6341	guaiacylglycerol-beta-guaiacyl ether degradation
PWY-6816	agarose degradation
PWY-6827	gellan degradation
PWY-6815	porphyran degradation
PWY-6813	glucuronoarabinoxylan degradation
PWY-6986	alginate degradation
PWY-6790	L-arabinan degradation
PWY-6769	rhamnogalacturonan type I degradation I (fungi)
PWY-6771	rhamnogalacturonan type I degradation II (bacteria)
PWY-5941	glycogen degradation II
PWY-6814	chitin degradation III (carnivorous plants)
PWY-6906	chitin derivatives degradation
PWY-6902	chitin degradation II
PWY-6855	chitin degradation I (archaea)
PWY-6817	lambda-carrageenan degradation
PWY-6821	kappa-carrageenan degradation
PWY-6822	iota-carrageenan degradation
PWY-6737	starch degradation V
PWY-6731	starch degradation III
PWY-6735	starch degradation IV
PWY-6807	xyloglucan degradation II (exoglucanase)
PWY-6812	xyloglucan degradation III (cellobiohydrolase)
PWY-6791	xyloglucan degradation I (endoglucanase)
PWY-6789	(1,3)-beta-D-xylan degradation
PWY-6717	(1,4)-beta-xylan degradation
PWY-6576	dermatan sulfate degradation (metazoa)
PWY-6573	chondroitin sulfate degradation (metazoa)
PWY-6572	chondroitin sulfate and dermatan sulfate degradation I (bacterial)
PWY-6788	cellulose degradation II (fungi)
PWY-6370	ascorbate recycling (cytosolic)
PWY-5874	heme degradation
PWY-7164	chlorophyll a degradation III
PWY-6927	chlorophyll a degradation II
PWY-5098	chlorophyll a degradation I
PWY66-389	phytol degradation
CYCLOHEXANOL-OXIDATION-PWY	cyclohexanol degradation
PWY-7013	L-1,2-propanediol degradation
PWY0-1280	ethylene glycol degradation
PWY-6464	polyvinyl alcohol degradation
PWY66-161	oxidative ethanol degradation III
PWY66-162	ethanol degradation IV
PWY66-21	ethanol degradation II
ETOH-ACETYLCOA-ANA-PWY	ethanol degradation I
PWY3O-246	(R,R)-butanediol degradation
PWY-6388	(S,S)-butanediol degradation
GLYCEROLMETAB-PWY	glycerol degradation V
PWY-6131	glycerol degradation II
PWY-6130	glycerol degradation III
PWY-6952	glycerophosphodiester degradation
PWY-4261	glycerol degradation I
PWY-6692	Fe(II) oxidation
PWY-5934	iron reduction and absorption
PWY-6932	selenate reduction
PWY-4984	urea cycle
N2FIX-PWY	nitrogen fixation
CYANCAT-PWY	cyanate degradation
PWY-6523	intra-aerobic nitrite reduction
DENITRIFICATION-PWY	nitrate reduction I (denitrification)
PWY-6748	nitrate reduction VII (denitrification)
PWY0-1321	nitrate reduction III (dissimilatory)
PWY-5674	nitrate reduction IV (dissimilatory)
PWY0-1352	nitrate reduction VIII (dissimilatory)
PWY-381	nitrate reduction II (assimilatory)
PWY490-3	nitrate reduction VI (assimilatory)
PWY-5675	nitrate reduction V (assimilatory)
PWY-6963	ammonia assimilation cycle I
PWY-6964	ammonia assimilation cycle II
PWY-2242	ammonia oxidation III
AMMOXID-PWY	ammonia oxidation I (aerobic)
P303-PWY	ammonia oxidation II (anaerobic)
PWY-6348	phosphate acquisition
PWY-5491	diethylphosphate degradation
PWY-6357	phosphate utilization in cell wall regeneration
P483-PWY	phosphonoacetate degradation
PWY0-1533	methylphosphonate degradation
PHOSPHONOTASE-PWY	2-aminoethylphosphonate degradation I
PWY-6832	2-aminoethylphosphonate degradation II
PWY-6642	(R)-cysteate degradation
PWY-6058	dimethyl sulfone degradation
PWY-5260	methanogenesis from methylthiopropionate
PWY-5340	sulfate activation for sulfonation
PWY-6050	dimethyl sulfoxide degradation
PWY-2601	isethionate degradation
PWY-6593	sulfoacetate degradation
ALKANEMONOX-PWY	two-component alkanesulfonate monooxygenase
PWY-5258	methanogenesis from dimethylsulfide
PWY-6327	tetrathionate oxidation
PWY-6043	ethanedisulfonate degradation
PWY-6634	2,3-dihydroxypropane-1-sulfonate degradation
PWY-6044	methanesulfonate degradation
PWY-6321	homotaurine degradation
PWY-5707	isoalliin degradation
PWY-6052	dimethylsulfoniopropionate degradation III (demethylation)
PWY-6046	dimethylsulfoniopropionate degradation I (cleavage)
PWY-6056	dimethylsulfoniopropionate degradation II (cleavage)
PWY-6675	sulfur oxidation IV (intracellular sulfur)
SULFUROX-PWY	sulfur oxidation I (aerobic)
FESULFOX-PWY	sulfur oxidation II (Fe+3-dependent)
PWY-5359	tetrathionate reductiuon II (to trithionate)
PWY-5358	tetrathionate reduction I (to thiosulfate)
PWY-5278	sulfite oxidation III
PWY-5326	sulfite oxidation IV
PWY-5276	sulfite oxidation I (sulfite oxidoreductase)
PWY-5279	sulfite oxidation II
PWY-5332	sulfur reduction I
PWY-5364	sulfur reduction II (via polysulfide)
PWY-6638	sulfolactate degradation III
PWY-6616	sulfolactate degradation I
PWY-6637	sulfolactate degradation II
PWY-1281	sulfoacetaldehyde degradation I
PWY-5982	sulfoacetaldehyde degradation II
PWY-6718	sulfoacetaldehyde degradation III
P203-PWY	sulfur disproportionation I (anaerobic)
PWY-5302	sulfur disproportionation II (aerobic)
PWY-6045	methylthiopropionate degradation II (demethylation)
PWY-6048	methylthiopropionate degradation I (cleavage)
P224-PWY	sulfate reduction V (dissimilatory)
SULFMETII-PWY	sulfate reduction II (assimilatory)
PWY-6683	sulfate reduction III (assimilatory)
DISSULFRED-PWY	sulfate reduction IV (dissimilatory)
PWY-6047	dimethyl sulfide degradation I
PWY-6059	dimethyl sulfide degradation II (oxidation)
PWY-6057	dimethyl sulfide degradation III (oxidation)
PWY-5274	sulfide oxidation II (sulfide dehydrogenase)
PWY-5285	sulfide oxidation III (sulfur dioxygenase)
P222-PWY	sulfide oxidation I (sulfide-quinone reductase)
PWY-5350	thiosulfate disproportionation III (rhodanese)
PWY-5352	thiosulfate disproportionation II (non thiol-dependent)
PWY-5277	thiosulfate disproportionation I (thiol-dependent)
PWY-5303	thiosulfate oxidation II (to tetrathionate)
PWY-5296	thiosulfate oxidation III (multienzyme complex)
PWY-6677	thiosulfate oxidation IV (multienzyme complex)
THIOSULFOX-PWY	thiosulfate oxidation I (to tetrathionate)
PWY-6591	manganese oxidation I
PWY-6592	manganese oxidation II
PWY-5046	2-oxoisovalerate decarboxylation to isobutanoyl-CoA
PWY-6344	ornithine degradation II (Stickland reaction)
PWY-6334	L-dopa degradation
PWY-5084	2-oxoglutarate decarboxylation to succinyl-CoA
GLUTAMINDEG-PWY	glutamine degradation I
GLUTAMINEFUM-PWY	glutamine degradation II
PWY-6328	lysine degradation X
PWY-5298	lysine degradation VI
PWY-5324	lysine degradation IX
PWY-5283	lysine degradation V
PWY-5280	lysine degradation IV
PWY0-461	lysine degradation I
PWY-5314	lysine degradation VIII
LYSINE-DEG1-PWY	lysine degradation II
LYSDEGII-PWY	lysine degradation III
P163-PWY	lysine fermentation to acetate and butyrate
PWY-5311	lysine degradation VII
PWY0-1535	D-serine degradation
SERDEG-PWY	L-serine degradation
TRPCAT-PWY	tryptophan degradation I (via anthranilate)
PWY-6307	tryptophan degradation X (mammalian, via tryptamine)
PWY-5081	tryptophan degradation VIII (to tryptophol)
PWY-3162	tryptophan degradation V (side chain pathway)
TRYPDEG-PWY	tryptophan degradation II (via pyruvate)
TRPKYNCAT-PWY	tryptophan degradation IV (via indole-3-lactate)
PWY-5651	tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde
PROUT-PWY	proline degradation
PWY1-2	alanine degradation IV
ALACAT2-PWY	alanine degradation II (to D-lactate)
ALANINE-DEG3-PWY	alanine degradation III
ALADEG-PWY	alanine degradation I
HISHP-PWY	histidine degradation VI
HISTDEG-PWY	histidine degradation IV
PWY-5028	histidine degradation II
PWY-5030	histidine degradation III
HISDEG-PWY	histidine degradation I
PWY-5031	histidine degradation V
PWY-1781	beta-alanine degradation II
BETA-ALA-DEGRADATION-I-PWY	beta-alanine degradation I
PWY-5075	leucine degradation II
PWY-5076	leucine degradation III
LEU-DEG2-PWY	leucine degradation I
PWY-5436	threonine degradation IV
THREONINE-DEG2-PWY	threonine degradation II
PWY-5437	threonine degradation I
THRDLCTCAT-PWY	threonine degradation III (to methylglyoxal)
ASPARTATE-DEG1-PWY	aspartate degradation I
MALATE-ASPARTATE-SHUTTLE-PWY	aspartate degradation II
PWY-5329	L-cysteine degradation III
LCYSDEG-PWY	L-cysteine degradation II
CYSTEINE-DEG-PWY	L-cysteine degradation I
PWY-4321	glutamate degradation IV
GLUDEG-I-PWY	glutamate degradation III (via 4-aminobutyrate)
PWY-5087	glutamate degradation VI (to pyruvate)
P162-PWY	glutamate degradation V (via hydroxyglutarate)
PWY-5766	glutamate degradation X
GLUTAMATE-DEG1-PWY	glutamate degradation I
PWY-6422	D-arginine degradation
ARGDEG-IV-PWY	arginine degradation VIII (arginine oxidase pathway)
AST-PWY	arginine degradation II (AST pathway)
PWY-5742	arginine degradation IX (arginine:pyruvate transaminase pathway)
ARGDEG-V-PWY	arginine degradation X (arginine monooxygenase pathway)
ARG-GLU-PWY	arginine degradation VII (arginase 3 pathway)
