RXN	1_upper_euphotic	6_upper_euphotic	2_chlorophyllmax	3_below_euphotic	5_uppermesopelagic	7_omz	4_deepabyss
FORMALDEHYDE-DEHYDROGENASE-RXN	0	0	0	0	1	0	0
RXN-7904	11	13	10	10	16	18	20
SUCC-FUM-OXRED-RXN	7	2	3	1	3	10	5
O-SUCCINYLBENZOATE-COA-LIG-RXN	0	0	1	0	0	2	0
3.6.3.4-RXN	0	0	0	0	0	0	2
ALANINE--GLYOXYLATE-AMINOTRANSFERASE-RXN	2	0	0	0	0	2	0
RXN-9514	1	0	0	0	0	0	0
RXN1F-357	1	0	1	0	0	0	0
RXN-12184	0	1	0	0	0	0	0
3-HYDROXYBUTYRATE-DEHYDROGENASE-RXN	0	0	0	0	1	1	1
4-HYDROXYBENZOATE-3-MONOOXYGENASE-RXN	1	0	1	0	0	1	0
RXN-8781	0	1	1	0	0	1	0
N-ACETYLNEURAMINATE-SYNTHASE-RXN	1	3	2	1	1	3	3
SPERMIDINESYN-RXN	0	1	0	0	2	2	3
METHYLACYLYLCOA-HYDROXY-RXN	16	20	11	7	13	15	18
RXN0-5258	0	0	1	0	0	0	0
PROTOPORGENOXI-RXN	0	0	0	1	0	0	0
RXN0-884	1	0	2	4	2	8	6
RXN-9987	0	0	0	4	1	1	1
1.1.1.127-RXN	0	0	0	0	1	0	0
RXN-7719	0	0	0	6	7	12	9
ACONITATEHYDR-RXN	2	8	7	9	9	7	7
1.5.1.20-RXN	1	2	1	0	0	2	6
HYDROXYMETHYLGLUTARYL-COA-REDUCTASE-RXN	0	1	1	0	0	0	0
GPH-RXN	0	0	0	0	0	2	0
SHIKIMATE-PQQ-RXN	0	1	1	1	0	0	5
HOMOCYSTEINE-S-METHYLTRANSFERASE-RXN	0	1	0	0	0	3	3
UDPGLCNACEPIM-RXN	0	0	0	4	1	1	1
DGDPKIN-RXN	4	3	1	2	2	1	4
GLUTAMATE-DEHYDROGENASE-RXN	1	2	1	2	2	2	4
RXN-9540	1	0	0	0	0	0	0
CDPKIN-RXN	4	3	1	2	2	1	4
RXN-8730	1	0	0	0	0	0	0
GLUTAMATE-N-ACETYLTRANSFERASE-RXN	1	2	1	3	1	2	1
FORMYLTHFDEFORMYL-RXN	3	0	1	0	0	3	2
MALONYL-COA-ACP-TRANSACYL-RXN	0	3	1	1	0	0	1
CYSPH-RXN	1	1	1	0	2	0	1
PGPPHOSPHA-RXN	1	0	0	0	0	1	0
BRANCHED-CHAINAMINOTRANSFERILEU-RXN	3	8	3	6	8	8	6
FATTY-ACYL-COA-SYNTHASE-RXN	0	1	0	0	0	0	0
RXN0-5507	1	0	2	0	0	0	0
ACYLCOASYN-RXN	11	14	11	10	16	18	20
25-DIOXOVALERATE-DEHYDROGENASE-RXN	0	1	0	1	1	0	0
3-HYDROXYISOBUTYRATE-DEHYDROGENASE-RXN	1	2	1	3	1	1	3
RXN-5282	1	0	0	0	0	0	0
PEPSYNTH-RXN	2	1	0	0	2	2	0
ARYLDIALKYL-PHOSPHATASE-RXN	0	0	0	0	0	1	1
RXN-5682	1	1	0	0	0	0	0
GLYCERATE-DEHYDROGENASE-RXN	0	0	0	0	0	2	0
ACETYLSYNCLTH-RXN	2	4	0	4	6	7	7
DIMETHYLGLYCINE-DEHYDROGENASE-RXN	0	0	0	0	3	0	0
N-ACETYLGLUCOSAMINE-KINASE-RXN	0	0	0	0	2	0	0
ALPHAGALACTOSID-RXN	0	0	0	0	0	1	0
R502-RXN	1	0	0	0	2	3	0
KDGALDOL-RXN	0	0	0	1	1	0	0
GDPREDUCT-RXN	1	2	3	0	1	0	0
PANTEPADENYLYLTRAN-RXN	0	2	0	1	1	1	2
RXN-9086	1	0	0	0	2	0	0
P-PANTOCYSLIG-RXN	0	0	0	0	1	0	1
DHLAXANAU-RXN	1	0	0	0	2	0	0
1.2.1.9-RXN	1	3	3	1	0	3	6
5-METHYLTHIORIBOSE-KINASE-RXN	1	1	0	0	0	0	0
5.3.3.10-RXN	0	0	0	2	0	0	2
ADPREDUCT-RXN	1	2	3	0	1	0	0
PYRUVATE-CARBOXYLASE-RXN	1	1	0	0	1	1	1
RIBULOSE-BISPHOSPHATE-CARBOXYLASE-RXN	0	0	0	0	0	2	0
CYTIDINEKIN-RXN	0	0	0	0	0	1	0
MONOPHENOL-MONOOXYGENASE-RXN	2	0	0	1	0	1	1
RXN0-1342	2	2	0	5	3	4	1
GLUTAMATESYN-RXN	14	12	8	11	4	11	10
R309-RXN	0	0	0	0	0	1	1
UDPNACETYLMURAMATEDEHYDROG-RXN	1	1	0	0	1	0	2
2-OCTAPRENYL-6-METHOXYPHENOL-HYDROX-RXN	0	0	0	1	0	0	0
N-CARBAMOYLSARCOSINE-AMIDASE-RXN	0	1	0	0	0	0	0
DTDPGLUCDEHYDRAT-RXN	1	1	0	1	2	3	1
GLUTAMATE-FORMIMINOTRANSFERASE-RXN	0	1	1	1	0	1	1
URPHOS-RXN	0	0	1	0	0	0	0
DLACTDEHYDROGNAD-RXN	1	0	0	1	1	0	1
METHELENE-THMPT-OXI-RXN	1	0	1	1	1	7	1
NICOTINATEPRIBOSYLTRANS-RXN	1	2	0	4	1	1	0
PORPHOBILSYNTH-RXN	2	2	0	3	3	3	4
METHYLENETHFDEHYDROG-NADP-RXN	1	2	0	1	0	3	2
RXN-8351	0	0	0	0	1	0	0
5.3.1.17-RXN	0	0	0	0	0	0	1
AKBLIG-RXN	0	1	0	0	0	3	1
